text,created_at,location
@farizafandeMP Merci beaucoup Bisous :),Mon Sep 30 19:02:02 +0000 2013,
#DigamosQue estoy ansioso por tener el FIFA en mi compupero los chotos de Skidrow no se apuran con el crack --,Mon Sep 30 19:02:02 +0000 2013,
I wish that this could last forever but maybe one night is even better,Mon Sep 30 19:02:02 +0000 2013,
@MisterDWallace http://tco/Z0Vn5uEW0G,Mon Sep 30 19:02:02 +0000 2013,
RT @NiquitoAcevedo: Ser una gran semana para #LosJornadistas  :D,Mon Sep 30 19:02:02 +0000 2013,
                           ,Mon Sep 30 19:02:02 +0000 2013,
Great thought RT @mdaimler: Sculptures demonstrate art's power to change the way we view the world http://tco/tYBRsqqmxO #diSuveroSF,Mon Sep 30 19:02:02 +0000 2013,
Ama kamiti "@cwaguthi: Its not cammittee its COMMITTEEgah",Mon Sep 30 19:02:02 +0000 2013,
RT @hurricaxne: nienawidze niemca jezu on jest popierdolony,Mon Sep 30 19:02:02 +0000 2013,
RT @alialqataine: @forsa123l123,Mon Sep 30 19:02:02 +0000 2013,
Es mi cuenta e insulto a quien se me salga de los huevos,Mon Sep 30 19:02:02 +0000 2013,
@CamiGarciaLF boluda te odio tenia las tetas llenas de harina,Mon Sep 30 19:02:02 +0000 2013,
   http://tco/jJbrt0Qlno,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @CallMeEvaaaaaaa: With @Its_Boo_Bitchiz http://tco/TJXhQkPWRN,
guarraaaaaa — LO TENDRE EN CUENTA http://tco/lJO4GN3blz,Mon Sep 30 19:02:02 +0000 2013,
http://tco/vATFtkHLak Alimentation Mean Well spciale Led 100W Etanche IP67 lpv-100-12,Mon Sep 30 19:02:02 +0000 2013,
I no wan hear sef cos I knw say na nonsens"@NaeNae_Swagiee: Amebo I wnt tell u"@abbakabir: dd wt"@NaeNae_Swagiee: Randy Orton""",Mon Sep 30 19:02:02 +0000 2013,
@DrTopCat que rpido te awitas y bloqueas Ni aguantas nada papa,Mon Sep 30 19:02:02 +0000 2013,
AJ and Kamil scenes melt my heart #eastenders,Mon Sep 30 19:02:02 +0000 2013,
#Act2EndAssadsWar http://tco/64LiiUAmGV #USA #UK #Denmark #Holland #US #CANDA #WashingtonDC Just One Love - A message2 #Syria and #Russia,Mon Sep 30 19:02:02 +0000 2013,
2 unfollow no tumblr estou de luto por essas pessoas,Mon Sep 30 19:02:02 +0000 2013,
RT @PelinREKREASYON: @suatkilic Sayn Bakanm Gl yarnlar iin greve hazrzBizi dinlediiniz iin teekkr ederiz#RekreasyonBlmMe…,Mon Sep 30 19:02:02 +0000 2013,
OMG /dead/:""""") @JewelVN: [HD] 130926 ELF Japan FM -Eunhyuk HaSeol_] http://tco/o7eHZ5A8HO",Mon Sep 30 19:02:02 +0000 2013,
RT @FerchMtzRod: Watch Katy Perry pues ni Gaga ni Britney han logrado superar #Roar  #Applause,Mon Sep 30 19:02:02 +0000 2013,
@EmilyLauren_Xox ahaha ill reply now,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @Detta90s: J'en peux plus de ces gens la  @hartzala gad sa  http://tco/z2dNTWXroG,
Por qu somos irreflexivos: http://tco/VZV83s0s1m va @LaVanguardia,Mon Sep 30 19:02:02 +0000 2013,
@SrknHakan ahahaha :D aynen ya :D duzgunu beni bulmaz zaten :D,Mon Sep 30 19:02:02 +0000 2013,
"@RadioTimes: Rose parties hard and Matthew speaks from beyond the grave in #DowntonAbbey series four episode two http://tco/nq7y7Irqyk",Mon Sep 30 19:02:02 +0000 2013,
Susu @nounna_ditaa,Mon Sep 30 19:02:02 +0000 2013,
RT @yacoub77zoo: leo tu es le pls con d entre ns,Mon Sep 30 19:02:02 +0000 2013,
Cannot waot to leave #nevercomingback,Mon Sep 30 19:02:02 +0000 2013,
Open enrollment for Affordable Care Act begins tomorrow -- @crepeau has a super helpful guide to navigating it: http://tco/4DdeDll17H,Mon Sep 30 19:02:02 +0000 2013,
“@Erdoo__: New ava” mb,Mon Sep 30 19:02:02 +0000 2013,
Sube tu autoestima querida no tu falda,Mon Sep 30 19:02:02 +0000 2013,
@drunkofTWBiebz omg hahahah that's a new one,Mon Sep 30 19:02:02 +0000 2013,
"abril rios more like abril be my wife",Mon Sep 30 19:02:02 +0000 2013,
@ex0314ldh (),Mon Sep 30 19:02:02 +0000 2013,
SIGAM &gt;&gt; @shupsel @shupsel @shupsel @shupsel @shupsel @shupsel @shupsel @shupsel @shupsel @shupsel @shupsel @shupsel @shupsel @shupsel &lt;&lt; 4X,Mon Sep 30 19:02:02 +0000 2013,
Happy Birthday  @CaliGirlJoanna have a good one ,Mon Sep 30 19:02:02 +0000 2013,
@CataBerdini @gabrlgtti y bueno capaz que le sobraron,Mon Sep 30 19:02:02 +0000 2013,
RT @FilosofiaTipica: Nada ms bonito que una persona que sepa sacarte una sonrisa cuando ms lo necesitas,Mon Sep 30 19:02:02 +0000 2013,
RT @candacestrick10: I wanna go on a road trip,Mon Sep 30 19:02:02 +0000 2013,
Wow makin memanas pasang selimutkipas2 sate,Mon Sep 30 19:02:02 +0000 2013,
“@OceanHasFaith: @d_Dowdy34 @nitzagabrielle you didn't even go to the last one” I know my invite got lost in the mail,Mon Sep 30 19:02:02 +0000 2013,
RT @MiguelTrinidadA: Peajes masivos o eurovietas para salvar a grandes grupos constructores de autopistasY a nosotros quien nos salva …,Mon Sep 30 19:02:02 +0000 2013,
RT @Eva_MCF: Muchas Felicidades @CarlosJose95 :)Disfruta de tus 18 y esas cosillas Besis,Mon Sep 30 19:02:02 +0000 2013,
Aunque se que las llevo de perder prefiero dar un salto a lo desconocido,Mon Sep 30 19:02:02 +0000 2013,
Llegar al nivel de estupidez mximo que coges el vaso con jugo y que se te riegue en toda la comida,Mon Sep 30 19:02:02 +0000 2013,
Vasy les cours sa me soul,Mon Sep 30 19:02:02 +0000 2013,
Recuerda que yo tambin s fingir que no me importas no lo olvides,Mon Sep 30 19:02:02 +0000 2013,
RT @SignosDeHoje: #Aqurio Quando estiver muito difcil de ficar de p ajoelhe-se,Mon Sep 30 19:02:02 +0000 2013,
World View: Algeria Cracks Down on Jihadists Headed for Syria via @GlobeNewsFeed   http://tco/mAWiRTL7lm,Mon Sep 30 19:02:02 +0000 2013,
@mMosoMm  ,Mon Sep 30 19:02:02 +0000 2013,
Thuthu Maqhosha ,Mon Sep 30 19:02:02 +0000 2013,
"@_dequevas: "busca porque siempre hay oro en la basura"",Mon Sep 30 19:02:02 +0000 2013,
@bielejewska @08Pati @Lusiaax @Nandos_Bejbe HAHA MUZEUM STYLESA WOL NIE WIEDZIE JAKIE JESZCZE DASZ TAM EKSPONATY XD HAHAH XD,Mon Sep 30 19:02:02 +0000 2013,
RT @wikegard: Fler spelare med DIF anknytning  i FBK (4) n Vrmlnningar (3) Vart r hockeyn p vg  Wesslau har gott frn att vara bs…,Mon Sep 30 19:02:02 +0000 2013,
RT @antonio98zc: Ya en casa despus de hacerle una visitilla a la nia ms guapa @LoreLoveme :),Mon Sep 30 19:02:02 +0000 2013,
Casio ve retro model diyorum baka da birey demiyorum,Mon Sep 30 19:02:02 +0000 2013,
@JiveZachy fuck you miss U2,Mon Sep 30 19:02:02 +0000 2013,
@xTROLFACEx I have pics to show you i need you to KlK me "misshottiexx",Mon Sep 30 19:02:02 +0000 2013,
Paroles de chanson Astrud Gilberto - Here Is That Rainy Day traduction lyrics http://tco/DvMOd2HOue,Mon Sep 30 19:02:02 +0000 2013,
Uunnnnnnn~ RT"@jeriychiq: @DanielAbdHalim hahaha  ann annnn ",Mon Sep 30 19:02:02 +0000 2013,
Nice to meet Jonathan Night Look for the new acquaintances in the streets of London http://tco/3pMJAJeSPb #iPad #iPadGame,Mon Sep 30 19:02:02 +0000 2013,
RT @ribeiro_micael: morenas &gt; loiras,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @assj11:     http://tco/FBdTON2oqd,
@xxEVANILSON @Myrishax #bedreiging,Mon Sep 30 19:02:02 +0000 2013,
#PersonasImportantesEnMiVida todas aquellas que no han fallado saben quienes son,Mon Sep 30 19:02:02 +0000 2013,
Trek Roraima Tepuy 6d/5n Bs 6590 p/p T/incluido(hospcarpasbao porttil comidasetc) - http://tco/jGNGtzWP2T #Anuncios,Mon Sep 30 19:02:02 +0000 2013,
RT @zaytung: Aklanan Paketle Biraz Daha zgrleen Trkiye Babakan'a Soru Sorabilen lk Gazeteciyi 2023'e Yetitirmeyi Umuyorhttp://t…,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @Nav_deportiva: Si lo deseis podis seguir en directo (Streaming) la #CAOAsamblea a travs de http://tco/ibIJpqEfKC,
minecraft  chest: minecraft  chest http://tco/mv6G2zAiT7 http://tco/ziyr8I12Vu,Mon Sep 30 19:02:02 +0000 2013,
hahha jaken siah haha RT @Fauzan_Balweel: beungeutna oge garetek kitu :D"@julilukman hahahaha mita dan dara berdendang pa tukang" mumuteran,Mon Sep 30 19:02:02 +0000 2013,
RT @camilacabello97: THANKS FOR HAVING US ON TOUR WITH YOU ID SAY THIS WAS A CHILDHOOD DREAM BUT THIS WAS LITERALLY UNIMAGINABLE LOL @ddlov…,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @Thorne_Hill: 1 month to release date Have you pre ordered your copy of 'Tomorrow'http://tco/5YvGERmDsl,
RT @selinaladag: Allah yolunda tozlanan ayaklara cehennem atei dokunmaz,Mon Sep 30 19:02:02 +0000 2013,
RT @larzhoban: Is it cold in here #Ping,Mon Sep 30 19:02:02 +0000 2013,
I posted a new photo to Facebook http://tco/GKFdA5R89N,Mon Sep 30 19:02:02 +0000 2013,
RT @JocelynCarbon_: Les profs qui veulent rattraper une heure de cours parce-qu'ils taient absent &lt;&lt;&lt;&lt; WSH T'ES PAS LA T'ES PAS LA  CASSE…,Mon Sep 30 19:02:02 +0000 2013,
TWO DOOR CINEMA CLUB ARE COMING TO BLACKPOOL FUCKING A+,Mon Sep 30 19:02:02 +0000 2013,
&amp; you think your mature Lololol thats a good one,Mon Sep 30 19:02:02 +0000 2013,
@MilenaaRc2 Cambiarte Creo que todas las locuras que hice con ustedes no se volvieron a repetir con nadie,Mon Sep 30 19:02:02 +0000 2013,
@pavone_fans TODOS DEFIENDEN A PAVONE PERO 4 GOLES EN UN TORNEO  NO MAMES ES UNA MAMADA A FALLADO GOLES HECHOS ES UN TRONCO,Mon Sep 30 19:02:02 +0000 2013,
RT for dm your username to ariana,Mon Sep 30 19:02:02 +0000 2013,
@HowieFepuleai @its_Ashley_Gee @NiaSivapragasam I have a good feeling about this weekend  #SHIVERMETIMBERLAAAAAAANDS,Mon Sep 30 19:02:02 +0000 2013,
kosong bilang isi isi bilang kosong  bila kosong itu isi bukankah isi itu hanyalah kosong atau mungkin lebih http://tco/ubK2rkKJRD,Mon Sep 30 19:02:02 +0000 2013,
@_EineKleine ui,Mon Sep 30 19:02:02 +0000 2013,
@dorothy__69 @RafaTejedor nio,Mon Sep 30 19:02:02 +0000 2013,
2 pessoas esto visualizando seu perfil http://tco/zSyAzTmMxV,Mon Sep 30 19:02:02 +0000 2013,
RT @Sergio_RT96: Nosotros somos luz y todos estn ciegos,Mon Sep 30 19:02:02 +0000 2013,
Taniyorum ve seviyorum dediginiz kisilere cok dikkat edin ilk onlar siker adami,Mon Sep 30 19:02:02 +0000 2013,
@jimothybarfoot beautiful,Mon Sep 30 19:02:02 +0000 2013,
@_ForeverKrissy_ sureee,Mon Sep 30 19:02:02 +0000 2013,
RT @pablitomartin22: @AlexRuizQuiroga lavin como no te levantes maana,Mon Sep 30 19:02:02 +0000 2013,
RT @PutasEsperanzas: Recibimos flores y balas en un mismo corazn,Mon Sep 30 19:02:02 +0000 2013,
