Text,WeekDay,Month,Day,Time,+SMT,Year,Location,Language,Followers_count,Friends_count
where is stoiltimchev1 ,mon,sep,30,19:02:02,+0000,2013,outer mongolia the moon,en,103,88
marco ?lvarez de facebook inc. nos presenta su conferencia facebook y los juegos sociales. httpt.cooqmcxgtshf,mon,sep,30,19:02:02,+0000,2013,m?xico d.f.,es,3271,1919
                          ,mon,sep,30,19:02:02,+0000,2013,,en,653,77
sikarin_alec im not impressed that you can bench nearly your own weight its just a push up,mon,sep,30,19:02:02,+0000,2013,chicago il,en,235,140
photoset themalleable daft punk on star wars by adidas? httpt.coqeh7zckjvp,mon,sep,30,19:02:02,+0000,2013,crimea,ru,436,306
rt al33tiby  httpt.coeq4362491w,mon,sep,30,19:02:02,+0000,2013,s3o0od05,ar,132,127
madawialfaleh na9abaa,mon,sep,30,19:02:02,+0000,2013,harmonizer - arianator ,en,165,377
questo ? quello che ho pescato questa mattina. httpt.copnyl5b4zws,mon,sep,30,19:02:02,+0000,2013,,it,5,58
rt arsenal who is your favourite german at arsenal get involved in the debate now - httpt.codttz1d7zep  clockend,mon,sep,30,19:02:02,+0000,2013,kuala lumpur malaysia,en,4,20
                       ,mon,sep,30,19:02:02,+0000,2013,,ar,19,58
beiktan kapsn biz a?tk imdi gelen ge?en giriyor ..,mon,sep,30,19:02:02,+0000,2013,t?rkye,tr,7360,6350
on est que la 2? semaine depuis que les cours ont repris jen peux d?j? plus du manque de sommeil,mon,sep,30,19:02:02,+0000,2013,paris,en,241,661
            ,mon,sep,30,19:02:02,+0000,2013,ksa,ar,13450,2025
asleep awake asleep awake my body needs to decide what the fuck it wants to do,mon,sep,30,19:02:02,+0000,2013,,en,345,276
fabio sabatini – dove c’? barilla c’? una sguattera httpt.copm751cqsxx,mon,sep,30,19:02:02,+0000,2013,lake of garda - italy,it,498,1989
rt thiagomacgames aquelas criancinhas que n?o calam a boca de jeito nenhum e voc? pensa como seria bom dar um pequeno soco mas pequeno s…,mon,sep,30,19:02:02,+0000,2013,s?o paulo,pt,2372,324
ifeytv cassidy_mazotas k,mon,sep,30,19:02:02,+0000,2013,,en,223,41
chrisdupont07 prolly like 345,mon,sep,30,19:02:02,+0000,2013,manchester nj - buffalo ny,en,482,926
rt turkinsudairi ..  ()...         http…,mon,sep,30,19:02:02,+0000,2013,,en,70,265
killaakayla yeah it will. i cant wait lol ,mon,sep,30,19:02:02,+0000,2013,southern cali,en,75,69
rt aitariaes la internacionalizaci?n de las empresas espa?olas en la actualidad httpt.cotp2a9oykuy,mon,sep,30,19:02:02,+0000,2013,le?n - espa?a,es,21,55
rt clarampj no conocer esta respuesta es de sermuy muggle albus_dumb httpt.coviaywyflo2,mon,sep,30,19:02:02,+0000,2013,,es,83,110
beli gta tapi tk main zz waste moooooneehhhh,mon,sep,30,19:02:02,+0000,2013,,en,177,140
               ,mon,sep,30,19:02:02,+0000,2013,,ar,2071,1833
fatinshahidan dah mcm i nieh penyangak pulak tak selamat bagai -- hahaha yelah wakk ikut you jee,mon,sep,30,19:02:02,+0000,2013,kuala kangsar - gombak,en,441,249
hannibalclk oynyalm m lt3,mon,sep,30,19:02:02,+0000,2013,tomorrowland,tr,195,134
rt dennisposts miley cyrus - an emoji story ,mon,sep,30,19:02:02,+0000,2013,,en,1170,1167
kingaling_ _randeenicole theirs broke go buy one- _- what happened to urs,mon,sep,30,19:02:02,+0000,2013,dallas tx,en,1986,1531
rt ramazankaya58 yakr.. httpt.cos3agxb7i1o,mon,sep,30,19:02:02,+0000,2013,,tr,441,484
pabloooatm21 luciagarcivaldi jajaja entre tu y angelaaburgos,mon,sep,30,19:02:02,+0000,2013,instagram portyofficial,es,254,249
perseofagdr non penso ride,mon,sep,30,19:02:02,+0000,2013,211 with riley and lia,it,49,48
ai_big ,mon,sep,30,19:02:02,+0000,2013,,ja,76,78
jpense que jvais etre en jail,mon,sep,30,19:02:02,+0000,2013,,fr,180,148
jellie_bean_ i just cried a little that so sad jean (,mon,sep,30,19:02:02,+0000,2013,,en,71,71
no dejemos que se apague no 8,mon,sep,30,19:02:02,+0000,2013,everywhere,es,1012,188
        httpt.cousrokokyj6... httpt.cofcm3kc4gbr,mon,sep,30,19:02:02,+0000,2013,,en,14,66
rt carolineee367 me rn httpt.cooawy06two4,mon,sep,30,19:02:02,+0000,2013,,en,291,214
                ,mon,sep,30,19:02:02,+0000,2013,abudhabi.,en,14,0
vivaantes cascarelo e j? a s?rio eu n?o contrataria algu?m assim para trabalhar na minha oficina. prefiro fregar eu o v?ter.,mon,sep,30,19:02:02,+0000,2013,corunha galiza,en,173,244
?el reto se ha iniciado participa con tus fotos en el concurso photo challenge.  ingresa a  httpt.co93g10vln8v mpc2013,mon,sep,30,19:02:02,+0000,2013,santiago chile,es,379591,12260
rt larrepy .mrehnfeldt hoy a las 18.00 se presenta el primer diario digital universitario de la carrera de comunicaci?n (una) httpt.c…,mon,sep,30,19:02:02,+0000,2013,de alg?n lugar de paraguay,es,433,285
siva karthikeyan will replace dhanush in next wunderbaner film (dir ethirneechal fame durai  music  anirudh) role   cop,mon,sep,30,19:02:02,+0000,2013,,en,3619,378
