Name,Type,Latitude,Longitude,City,Country
arcadia home,home private,55.84668212005396,-4.227071951219966,glasgow,united kingdom
kathryns,home private,55.84668212005396,-4.227071951219966,glasgow,united kingdom
7 silvergrove street,home private,55.84668212005396,-4.227071951219966,,united kingdom
lambhill quadrant,coworking space,55.850567990962844,-4.285306467755672,,united kingdom
scotland street west,road,55.85010783172225,-4.283809661865234,glasgow,united kingdom
wlr associates,office,55.850124,-4.283822,,united kingdom
the climbing academy,gym  fitness center,55.85037878261889,-4.281585765057297,glasgow,united kingdom
shields road subway station,subway,55.84980669366959,-4.2757415771484375,glasgow,united kingdom
the fish people cafe,seafood restaurant,55.849858,-4.275091,glasgow,united kingdom
the fish people,fish market,55.849828995831515,-4.27519277674188,glasgow,united kingdom
subway,sandwich place,55.84992,-4.27538,glasgow,united kingdom
spt shield rd park  ride,parking,55.849881722566124,-4.274837507006787,glasgow,united kingdom
work,coworking space,55.850468,-4.268553,glasgow,united kingdom
m74 junction 1,road,55.85062757541743,-4.267707373926591,,united kingdom
pikes palace of ginger love,home private,55.845159328887426,-4.2711876793321,,united kingdom
the local,pub,55.8506220938502,-4.262209767870407,,united kingdom
club noir,other nightlife,55.849899388005234,-4.260288232275398,glasgow,united kingdom
paul and colins gaff,home private,55.845668788985996,-4.256479651168762,east kilbride,united kingdom
o2 academy,music venue,55.850595670415835,-4.25945520401001,glasgow,united kingdom
keyline,building,55.850662,-4.25942085,,united kingdom
cathys hoose,residential building apartment  condo,55.850619398136004,-4.253159978339765,,united kingdom
city sprint glasgow,building,55.85048869,-4.25162394,,united kingdom
st lukes halls of residence,college residence hall,55.85025237715874,-4.250507354736328,glasgow,united kingdom
glasgow club gorbals,gym,55.85025237715874,-4.246644973754883,glasgow,united kingdom
templeton court,residential building apartment  condo,55.8501814046937,-4.234129236775104,,united kingdom
sportscotland,office,55.850669816666674,-4.2337,glasgow,united kingdom
dance hq,dance studio,55.850333579266724,-4.233186116811063,glasgow,united kingdom
templeton business centre,office,55.850646726384426,-4.232321941693689,,united kingdom
postable limited,office,55.8502547768252,-4.232709103106257,,united kingdom
white studios templeton building,,55.85062170893729,-4.233195928061713,,united kingdom
forsyth glazing,shop  service,55.85049147291628,-4.231642252540948,glasgow,united kingdom
bathtube,home private,55.84668212005396,-4.227071951219966,,united kingdom
london road cafe,caf,55.85026161,-4.23156707,,united kingdom
weavers coffee house,coffee shop,55.850120466770704,-4.2311525132827175,glasgow,united kingdom
silky,laundry service,55.85018084057263,-4.230187591581825,,united kingdom
bus stop 60901492,bus line,55.85004900731692,-4.229990584431946,,united kingdom
anson st bus stop,bus line,55.849822,-4.228687,,united kingdom
sandy  sandys hoose of death,home private,55.85573300301182,-4.287687078216173,glasgow,united kingdom
dreghorn photography,photography lab,55.851092566296536,-4.283155623365528,glasgow,united kingdom
wonder world,general entertainment,55.850851495601425,-4.282615154410998,glasgow,united kingdom
the climbing academy,rock climbing spot,55.85155559086538,-4.281549289918703,,united kingdom
sae college,,55.851001,-4.281528,glasgow,united kingdom
sense scotland,non-profit,55.851343,-4.277611,,united kingdom
litecraft,furniture  home store,55.851424476488475,-4.277053380911684,glasgow,united kingdom
cotterells lighting centre,,55.851505,-4.267815,,united kingdom
brasserie at downstairs,mediterranean restaurant,55.85089457017501,-4.263929186737045,,united kingdom
doogies,,55.85108201997482,-4.264458056561233,,united kingdom
pollok golf club,golf course,55.851162150619366,-4.262960912853254,glasgow,united kingdom
sas workwear,mens store,55.85153326666667,-4.2629287,glasgow,united kingdom
criminal justice social work,office,55.85123432170328,-4.260718976353478,glasgow,united kingdom
bridge court,,55.851301373069326,-4.259499606050101,glasgow,united kingdom
deals yaar,restaurant,55.85086066664574,-4.259626865386963,glasgow,united kingdom
curry king,asian restaurant,55.851578,-4.258665,glasgow,united kingdom
citizens theatre,theater,55.850768635088556,-4.253396482179593,glasgow,united kingdom
bus stop 60902510,bus line,55.851009368896484,-4.253247261047363,,united kingdom
bus stop at citizens,bus line,55.851117,-4.254087,glasgow,united kingdom
sharkeys,bar,55.851379,-4.252295,,united kingdom
copfs,government building,55.85121617640157,-4.2519556090461075,glasgow,united kingdom
that place frankie told a funny joke,historic site,55.851364,-4.251547,glasgow,united kingdom
blackfriars primary school,trade school,55.851417,-4.25113,,united kingdom
