Text,WeekDay,Month,Day,Time,#NAME?,Year,Location,Language,Followerscount,Friendscount
digamosque estoy ansioso por tener el fifa en mi compupero los chotos de skidrow no se apuran con el crack --,mon,sep,4,19:02:02,0,2013,resido en mi casa,es,1581,1556
i wish that this could last forever but maybe one night is even better,mon,sep,4,19:02:02,0,2013,,en,315,231
misterdwallace httptcoz0vn5uew0g,mon,sep,4,19:02:02,0,2013,ukraine,en,0,0
rt niquitoacevedo ser una gran semana para losjornadistas  d,mon,sep,4,19:02:02,0,2013,,es,125,137
                           ,mon,sep,4,19:02:02,0,2013,instagraminadaxd,ar,9293,284
great thought rt mdaimler sculptures demonstrate arts power to change the way we view the world httptcotybrsqqmxo disuverosf,mon,sep,4,19:02:02,0,2013,san francisco ca,en,409552,240957
ama kamiti cwaguthi its not cammittee its committeegah,mon,sep,4,19:02:02,0,2013,kenya world ,en,458,447
rt hurricaxne nienawidze niemca jezu on jest popierdolony,mon,sep,4,19:02:02,0,2013,poland ,en,438,285
rt alialqataine forsa123l123,mon,sep,4,19:02:02,0,2013,,en,217,16
es mi cuenta e insulto a quien se me salga de los huevos,mon,sep,30,19:02:02,0,2013,barquisimeto venezuela,es,97,69
camigarcialf boluda te odio tenia las tetas llenas de harina,mon,sep,4,19:02:02,0,2013, 20th july mg with justin ,es,478,492
   httptcojjbrt0qlno,mon,sep,4,19:02:02,0,2013,,en,0,0
rt callmeevaaaaaaa with itsboobitchiz httptcotjxhqkpwrn,mon,sep,30,19:02:02,0,2013,tonga soa ptasse ,fr,431,388
guarraaaaaa — lo tendre en cuenta httptcoljo4gn3blz,mon,sep,4,19:02:02,0,2013,madrid,es,418,336
httptcovatftkhlak alimentation mean well spciale led 100w etanche ip67 lpv-100-12,mon,sep,4,19:02:02,0,2013,,en,0,0
i no wan hear sef cos i knw say na nonsensnaenaeswagiee amebo i wnt tell uabbakabir dd wtnaenaeswagiee randy orton,mon,sep,4,19:02:02,0,2013,somewhere in the world d,en,787,550
drtopcat que rpido te awitas y bloqueas ni aguantas nada papa,mon,sep,30,19:02:02,0,2013,,es,1436,1374
aj and kamil scenes melt my heart eastenders,mon,sep,4,19:02:02,0,2013,london,en,1029,988
act2endassadswar httptco64liiuamgv usa uk denmark holland us canda washingtondc just one love - a message2 syria and russia,mon,sep,4,19:02:02,0,2013,,en,148,168
2 unfollow no tumblr estou de luto por essas pessoas,mon,sep,30,19:02:02,0,2013,gondor,pt,142,141
rt pelinrekreasyon suatkilic sayn bakanm gl yarnlar iin greve hazrzbizi dinlediiniz iin teekkr ederizrekreasyonblmme…,mon,sep,4,19:02:02,0,2013,,tr,11,21
omg dead jewelvn hd 130926 elf japan fm -eunhyuk haseol httptcoo7ehz5a8ho,mon,sep,4,19:02:02,0,2013,blue world~,ar,45,141
rt ferchmtzrod watch katy perry pues ni gaga ni britney han logrado superar roar  applause,mon,sep,4,19:02:02,0,2013,usa               21†01†13,en,12378,11990
emilylaurenxox ahaha ill reply now,mon,sep,30,19:02:02,0,2013,,en,1636,1983
